videoId,channelId,video_url
-CzTR7uG3cY,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=-CzTR7uG3cY
NdpUnyf4bl8,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=NdpUnyf4bl8
ilqSaeQ_Ebc,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=ilqSaeQ_Ebc
YJWghp6tlYg,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=YJWghp6tlYg
XMuChIgYnvE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=XMuChIgYnvE
h7fKAwWdGAg,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=h7fKAwWdGAg
CRPuhATcQLs,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=CRPuhATcQLs
wysbuR3E2kU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=wysbuR3E2kU
zhqn_P-FGqU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=zhqn_P-FGqU
UB2FNonsV-Q,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=UB2FNonsV-Q
NSnUAr3HzfE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=NSnUAr3HzfE
MzAsfr0KWGk,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=MzAsfr0KWGk
-KQrYs_bYgc,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=-KQrYs_bYgc
W58iH9pnYBo,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=W58iH9pnYBo
MrD9tCNpOvU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=MrD9tCNpOvU
SU-i6T_WNJo,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=SU-i6T_WNJo
NesMt5cgT0s,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=NesMt5cgT0s
VChl1eHNu3I,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=VChl1eHNu3I
IWmlhoLFEjs,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=IWmlhoLFEjs
Kdra4ed3Pm4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Kdra4ed3Pm4
dKn8uZc06OM,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=dKn8uZc06OM
